Station Code,Water Quality,Locations,State/ UT Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
15,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT KUYYURA- A.P.,Andhra Pradesh,22,28,25,NA,NA,NA,6.9,7.3,7.1,164,191,178,0.5,0.5,0.5,0.1,0.4,0.3,0.1,0.1,0.1,1,2,2,16,260,138
16,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT TADAVAI A.P.,Andhra Pradesh,22,26,24,NA,NA,NA,6.7,7.2,7,755,1039,897,0.4,1.2,0.8,1.3,7,4.2,0.1,0.1,0.1,1,2,2,8,20,14
26,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT VIJAYWADA- A.P.,Andhra Pradesh,30,30,30,NA,NA,NA,7.4,7.4,7.4,1101,1101,1101,0.8,0.8,0.8,1.8,1.8,1.8,0.1,0.1,0.1,2,2,2,1100,1100,1100
27,GROUND WATER QUALITY OF Andhra Pradesh,WELL AT PEDDAVOORA- A.P.,Andhra Pradesh,22,22,22,NA,NA,NA,7.9,8,8,543,769,656,NA,NA,NA,1.5,1.5,1.5,NA,NA,NA,2,2,2,50,50,50
1791,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- EAST OF SAICHERUVU-PAIDIPALLY (V)-WARANGAL DIST.,Andhra Pradesh,20,25,23,NA,NA,NA,7,7.1,7.1,900,1463,1182,0.3,0.3,0.3,9,12,10.5,0.1,0.1,0.1,2,40,21,24,800,412
1792,GROUND WATER QUALITY OF Andhra Pradesh,B/W -NEAR CKM COLLEGE -ENUMAMULA (V) -WARANGAL DIST.,Andhra Pradesh,20,25,23,NA,NA,NA,6.9,7,7,1778,3750,2764,0.3,0.5,0.4,8.4,10,9.2,0.1,0.1,0.1,1,2,2,2,78,40
1793,GROUND WATER QUALITY OF Andhra Pradesh,O/W - BHOOMAIAH NEAR ASHPONDSOF NTPC - KUNDANPALLY (V) - RAMAGUNDAM - KARIMNAGAR- A.P,Andhra Pradesh,20,28,24,NA,NA,NA,7.1,7.4,7.3,1350,1918,1634,0.4,0.5,0.45,2.7,6.1,4.4,0.1,0.1,0.1,2,2,2,60,104,82
1794,GROUND WATER QUALITY OF Andhra Pradesh,B/W - MANAKONDUR (V) - KARIMNAGAR DIST.- A.P,Andhra Pradesh,20,28,24,NA,NA,NA,7.1,7.4,7.3,778,800,789,0.2,0.5,0.35,8,8,8,0.1,0.1,0.1,2,2,2,20,24,22
1525,GROUND WATER QUALITY OF Andhra Pradesh,B/W - IDA - NEAR CHAITANYA CHLORIDES -PASHAMAYLAM - MEDAK,Andhra Pradesh,22,22,22,NA,NA,NA,7.4,7.7,7.6,645,1791,1218,NA,NA,NA,0.4,2.1,1.3,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA
1811,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- PRIMARY SCHOOL -RUDRAVELLI (V) - BIBINAGAR (M)- NALGONDA DIST.- A.P,Andhra Pradesh,21,21,21,NA,NA,NA,7.6,7.6,7.6,1211,1853,1532,NA,NA,NA,0.6,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810,GROUND WATER QUALITY OF Andhra Pradesh,B/W - SRI RAMNAGAR COLONY- SAKKAR NAGAR- BODHAN- NIZAMABAD DIST.- A.P,Andhra Pradesh,22,28,25,NA,NA,NA,7.2,8.1,7.6,1108,1352,1197,NA,NA,NA,2.3,4.4,3.3,0.5,0.5,0.5,2,2,2,70,70,70
1513,GROUND WATER QUALITY OF Andhra Pradesh,B W.- KRISHNA MURTHY- D.NO.48-16-43 AUTONAGAR VIJJAYAWADA- KRISNA DIST.- A.P.,Andhra Pradesh,30,30,30,NA,NA,NA,7.5,7.5,7.5,1128,1128,1128,1,1,1,1.8,1.8,1.8,0.1,0.1,0.1,2,2,2,1100,1100,1100
1514,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- VIJAY KUMAR AUTONAGARVIJAYAWADA- KRISHNA DIST.,Andhra Pradesh,30,30,30,NA,NA,NA,7.3,7.4,7.4,1287,1653,1470,0.8,0.8,0.8,1.7,20.7,11.2,0.1,0.1,0.1,2,2,2,1100,1100,1100
1515,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NAGARAM(V)- PALVONCHA- KHAMMAM DIST.- A.P.,Andhra Pradesh,25,29,27,NA,NA,NA,7.3,7.8,7.6,1684,2360,1925,1.4,3.6,2.2,0.3,17.3,9,0.1,0.1,0.1,2,4,2,800,1100,1040
1516,GROUND WATER QUALITY OF Andhra Pradesh,B W OF NAVLOK GARDENS NELLORE,Andhra Pradesh,29,32,31,NA,NA,NA,6.7,7.6,7.2,1241,2840,2041,1.8,4.2,3,0.6,11.5,6.1,0.1,0.1,0.1,2,2,2,1100,1100,1100
1517,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- TUNGBHADRA RIVER NEAR KURNOOL- A.P.,Andhra Pradesh,24,26,25,NA,NA,NA,7.3,7.6,7.4,1492,1895,1650,1.3,2,1.6,2.6,14.5,7.4,0.1,0.1,0.1,2,4,3,4,14,11
1518,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NANDYAL- KURNOOL DIST.- A.P.,Andhra Pradesh,24,26,25,NA,NA,NA,7.4,7.9,7.7,1440,3840,2079,1,1.8,1.4,2.9,13.5,5.8,0.1,0.1,0.1,2,6,4,6,21,13
1519,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NAGIRI- CHITTOOR DIST.- A.P,Andhra Pradesh,19,26,25,NA,NA,NA,7.3,7.9,7.6,1063,2440,1784,1,2.4,1.6,0.4,25.3,7.9,0.1,0.1,0.1,2,110,16,6,1700,220
1520,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- SWARNAMUKHI RIVER-SRIKALAHASTI- CHITTOOR DIST.,Andhra Pradesh,20,25,23,NA,NA,NA,7.6,8.3,7.8,625,1555,1160,1,3.2,2.1,0.4,13.8,6.4,0.1,0.1,0.1,2,140,38,6,1100,284
1521,GROUND WATER QUALITY OF Andhra Pradesh,O/W.- NEAR RAMA TEMPLE - WARD No.2 - MINDI - VISAKHAPATNAM- A.P,Andhra Pradesh,28,29,28,NA,NA,NA,7,7.4,7.2,3900,4700,4300,1,1.1,1.1,37.2,55.5,46.4,0.1,0.1,0.1,3,3,3,460,1100,780
1522,GROUND WATER QUALITY OF Andhra Pradesh,O/W.PEDDANUYYI - VIZIANAGARAM,Andhra Pradesh,28,35,31,NA,NA,NA,7.6,7.9,7.8,217,699,458,1,1,1,2.4,4.4,3.4,0.1,0.1,0.1,0,4,2,240,1100,670
1523,GROUND WATER QUALITY OF Andhra Pradesh,B/W.- NEAR M/S ANDHRA SUGARS LTD.- KOVVUR - W.G.DIST.,Andhra Pradesh,27,29,28,NA,NA,NA,7.8,7.8,7.8,212,213,213,1,1,1,0.3,0.6,0.5,NA,NA,NA,0,0,0,3,3,3
1524,GROUND WATER QUALITY OF Andhra Pradesh,O/W.-NEAR PARTAP NAGAR BRIIDGE -KAKINADA - E.G.DIST.- A.P,Andhra Pradesh,26,29,27,NA,NA,NA,7,7.9,7.5,2160,2640,2400,0.8,1,0.9,6.2,17.2,11.7,0.1,0.1,0.1,0,0,0,3,3,3
1533,GROUND WATER QUALITY OF Assam,DIGBOI- TINSUKIA DISTT.- Assam,Assam,25,29,27,NA,NA,NA,7,7.1,7.1,130,148,139,0.3,1,0.7,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
1534,GROUND WATER QUALITY OF Assam,KARBI ANGLONG DISTT.- Assam,Assam,24,26,25,NA,NA,NA,6.7,6.9,6.8,315,334,325,1.8,3.5,2.7,0.1,0.1,0.1,NA,NA,NA,0,0,0,360,360,360
1535,GROUND WATER QUALITY OF Assam,SIBSAGAR - Assam,Assam,22,24,23,NA,NA,NA,5.9,6.6,6.3,220,239,230,1.8,4.8,3.3,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,360,181
1536,GROUND WATER QUALITY OF Assam,SIBSAGAR- Assam,Assam,24,24,24,NA,NA,NA,6.2,6.2,6.2,280,280,280,5.6,5.6,5.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
1537,GROUND WATER QUALITY OF Assam,(JORHAT- Assam,Assam,20,22,21,NA,NA,NA,6.4,6.9,6.7,145,154,150,2,2,2,0.2,0.3,0.25,NA,NA,NA,0,0,0,1,300,151
1538,GROUND WATER QUALITY OF Assam,SILCHAR- Assam,Assam,12,13,12,NA,NA,NA,5.2,5.8,5.5,102,114,108,0.8,4.9,2.9,0.1,5.2,2.65,NA,NA,NA,0,0,0,360,910,635
1539,GROUND WATER QUALITY OF Assam,BARPETA- Assam,Assam,27,28,27,NA,NA,NA,7.1,7.9,7.5,510,578,544,0.4,2.6,1.5,0.1,0.8,0.45,NA,NA,NA,0,360,180,1,2800,1401
1540,GROUND WATER QUALITY OF Assam,BONAIGAON- Assam,Assam,25,28,27,NA,NA,NA,6.1,7.1,6.6,295,304,300,1.2,1.7,1.5,5.1,11.8,8.45,NA,NA,NA,0,0,0,1,360,181
1541,GROUND WATER QUALITY OF Assam,GUWAHATI- Assam,Assam,20,27,24,NA,NA,NA,7.2,7.8,7.5,141,758,450,2.1,3.7,2.9,0.2,0.3,0.25,NA,NA,NA,0,0,0,1,1,1
1542,GROUND WATER QUALITY OF Assam,GUWAHATI- Assam,Assam,22,27,25,NA,NA,NA,6.8,6.8,6.8,850,1001,926,0.9,3,2,0.2,2.9,1.55,NA,NA,NA,0,0,0,360,360,360
2243,GROUND WATER QUALITY OF Assam,GROUND WATER FROM LEDO-MARGHERITA,Assam,18,26,22,NA,NA,NA,6,6.1,6.1,350,351,351,0.8,1,0.9,0.3,1.4,0.85,NA,NA,NA,0,0,0,1,1,1
2244,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NAZIRA,Assam,21,24,23,NA,NA,NA,6.5,7.2,6.9,290,310,300,1.6,3,2.3,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,300,151
2245,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NUMALIGARH(NEAR NRL TE LABOR COLONY),Assam,20,20,20,NA,NA,NA,6.6,6.6,6.6,126,126,126,0.6,0.6,0.6,0.4,0.4,0.4,NA,NA,NA,0,0,0,1,1,1
2246,GROUND WATER QUALITY OF Assam,GROUND WATER FROMSEMENCHAPARI,Assam,17,23,20,NA,NA,NA,6.9,7.4,7.2,424,467,446,1.1,2.1,1.6,0.2,0.2,0.2,NA,NA,NA,0,0,0,1,1,1
2247,GROUND WATER QUALITY OF Assam,GROUND WATER FROM SILAPATHAR,Assam,17,23,20,NA,NA,NA,6.5,6.7,6.6,111,121,116,0.4,4.6,2.5,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2248,GROUND WATER QUALITY OF Assam,GROUND WATER FROM LAKHIMPURTOWN,Assam,17,23,20,NA,NA,NA,6.9,7.2,7.1,330,369,350,1.5,1.5,1.5,0.1,11.8,5.95,NA,NA,NA,0,0,0,1,1,1
2249,GROUND WATER QUALITY OF Assam,GROUND WATER FROM TEZPUR(MISSION CHARIALI),Assam,23,24,24,NA,NA,NA,6.8,7.5,7.2,120,136,128,0.7,1.3,1,0.1,0.6,0.35,NA,NA,NA,0,0,0,1,1,1
2250,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NAGAON(PANIGAON),Assam,27,28,27,NA,NA,NA,6.5,7.2,6.9,410,503,457,1.8,2.3,2.1,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,360,181
2251,GROUND WATER QUALITY OF Assam,GROUND WATER FROM JAGIROAD NRHPC EFFLUENT DISCHARGE POINT,Assam,25,28,27,NA,NA,NA,6.7,7.1,6.9,2350,2810,2580,0.8,3,1.9,0.1,1.4,0.75,NA,NA,NA,0,360,180,1,910,456
2252,GROUND WATER QUALITY OF Assam,GROUND WATER NR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,25,28,26,NA,NA,NA,6.5,7.1,6.8,280,2810,1545,0.7,3,1.9,0.1,1.5,0.8,NA,NA,NA,360,360,360,910,910,910
2253,GROUND WATER QUALITY OF Assam,GROUND WATER FROM NALBARI,Assam,20,26,23,NA,NA,NA,7.5,7.7,7.6,240,264,252,2.2,2.9,2.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2254,GROUND WATER QUALITY OF Assam,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,25,27,26,NA,NA,NA,7.1,8.2,7.7,435,455,445,0.6,0.6,0.6,0.1,0.3,0.2,NA,NA,NA,0,730,365,1,1500,751
2255,GROUND WATER QUALITY OF Assam,GROUND WATER NEAR BPRL-DHALIGAON,Assam,25,29,27,NA,NA,NA,5.8,7.5,6.7,125,133,129,0.6,2.8,1.7,0.4,1.3,0.85,NA,NA,NA,0,0,0,1,300,151
2256,GROUND WATER QUALITY OF Assam,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,27,29,28,NA,NA,NA,6.1,7.9,7,450,482,466,0.9,1.5,1.2,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2257,GROUND WATER QUALITY OF Assam,GROUND WATER FROM DHUBRIDISTRICT (COLLEGE NAGAR ),Assam,28,30,29,NA,NA,NA,6.3,6.7,6.5,410,427,419,0.4,0.8,0.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2258,GROUND WATER QUALITY OF Assam,GROUND WATER FROM GOALPARA DIST.(GOALPARA COLLEGE ),Assam,23,25,24,NA,NA,NA,6.3,7.9,7.1,435,452,444,0.7,0.8,0.8,0.3,0.7,0.5,NA,NA,NA,0,0,0,1,360,181
2259,GROUND WATER QUALITY OF Assam,GROUND WATER FROM DIPHU (GOVT.COLLEGE),Assam,22,27,25,NA,NA,NA,6.6,7.4,7,1150,1291,1221,1,1.5,1.3,0.1,0.1,0.1,NA,NA,NA,0,0,0,360,910,635
2260,GROUND WATER QUALITY OF Assam,GROUND WATER FROM HAMREN,Assam,20,20,20,NA,NA,NA,6.5,6.5,6.5,121,121,121,1,1,1,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2261,GROUND WATER QUALITY OF Assam,GROUND WATER FROM HAFLONG,Assam,10,28,19,NA,NA,NA,7.1,7.3,7.2,170,179,175,1.6,2,1.8,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2262,GROUND WATER QUALITY OF Assam,GROUND WATER FROM KARIMGANJ(COLLEGE),Assam,11,11,11,NA,NA,NA,6.8,7.1,7,430,470,450,0.3,0.4,0.4,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1500,751
2263,GROUND WATER QUALITY OF Assam,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,12,25,18,NA,NA,NA,6.2,8,7.1,320,335,328,1.4,1.7,1.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,910,456
2264,GROUND WATER QUALITY OF Assam,GROUND WATER IN PANCHGRAMMARKET NEAR CACHAR PAPER MILL,Assam,12,27,19,NA,NA,NA,6.7,8.2,7.5,850,3940,2395,1.2,6.6,3.9,0.1,0.1,0.1,NA,NA,NA,0,0,0,360,730,545
2054,GROUND WATER QUALITY OF Mizoram,RAMHLUM (NORTHERN PART),Mizoram,18,23,20,NA,NA,NA,5.7,8,6.7,386,464,424,1.2,2.7,1.6,NA,NA,NA,0.1,0.2,0.2,NA,NA,NA,7,15,10
2055,GROUND WATER QUALITY OF Mizoram,MISSION VENGTHLANG (SOUTHERN PART),Mizoram,17,22,20,NA,NA,NA,6.1,6.9,6.5,428,720,594,1.4,2.1,1.7,NA,NA,NA,0.1,0.2,0.2,NA,NA,NA,7,19,13
1920,GROUND WATER QUALITY OF Manipur,KAKCHING (THOUBAL DIST.),Manipur,28,28,28,NA,NA,NA,7,7,7,115,115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,GROUND WATER QUALITY OF Manipur,HEIROK (THOBAL DIST.),Manipur,21,21,21,NA,NA,NA,6.7,6.7,6.7,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,GROUND WATER QUALITY OF Manipur,LAMKA (CHURACHANDPUR DIST.),Manipur,28,28,28,NA,NA,NA,6.5,6.5,6.5,557,557,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,GROUND WATER QUALITY OF Manipur,PALLEL (CHANDEL DIST.),Manipur,29,29,29,NA,NA,NA,7.1,7.1,7.1,367,367,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30
1405,GROUND WATER QUALITY OF Tripura,WELL AT UDAIPUR (TUBEWELL)-,Tripura,25,29,27,NA,NA,NA,6.7,7.6,7.3,460,562,523,NA,NA,NA,0.03,1.05,0.3,NA,NA,NA,0,0,0,0,0,0
1406,GROUND WATER QUALITY OF Tripura,WELL AROUND UDAIPUR (TUBEWELL)-Tripura,Tripura,25,28,27,NA,NA,NA,6.5,7.9,7.5,265,380,302,NA,NA,NA,0,0.12,0.05,NA,NA,NA,0,0,0,0,0,0
1730,GROUND WATER QUALITY OF Tripura,KUNJBAN- AGARTALA- Tripura,Tripura,26,28,27,NA,NA,NA,5.9,6.2,6.1,160,165,162,NA,NA,NA,0,0.04,0.02,NA,NA,NA,0,0,0,0,0,0
1731,GROUND WATER QUALITY OF Tripura,LANKAMURA- Tripura,Tripura,27,28,27,NA,NA,NA,6.9,7.3,7,55,62,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1732,GROUND WATER QUALITY OF Tripura,A.D.NAGAR- AGARTALA- Tripura,Tripura,26,27,27,NA,NA,NA,6.4,6.7,6.5,85,95,90,NA,NA,NA,0,0.02,0.01,NA,NA,NA,0,0,0,0,0,0
1733,GROUND WATER QUALITY OF Tripura,SHIBNAGAR- AGARTALA- Tripura,Tripura,27,28,27,NA,NA,NA,6.5,6.6,6.5,140,151,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1734,GROUND WATER QUALITY OF Tripura,GANDHIGRAM- AGARTALA- Tripura,Tripura,26,28,27,NA,NA,NA,6.9,7.1,7,145,152,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1620,GROUND WATER QUALITY OF CHATTISSGARH,AT RAIPUR REGION- CHHATISSGARH,Chhattisgarh,23,28,26,NA,NA,NA,7.2,7.9,7.5,390,1243,891,0.4,0.8,0.7,2.6,33,17.8,0.1,2,1.45,NA,NA,NA,5,5,5
1621,GROUND WATER QUALITY OF CHATTISSGARH,AT RAIPUR REGION-CHHATISSGARH,Chhattisgarh,20,32,27,NA,NA,NA,7.4,8.1,7.9,298,3560,2336,0.9,3.6,2.3,0.3,20,10.2,0.6,3,1.85,NA,NA,NA,4,50,22
1622,GROUND WATER QUALITY OF CHATTISSGARH,AT BILASPUR REGION,Chhattisgarh,27,30,29,NA,NA,NA,7.9,8.3,8.1,1835,1976,1906,0.1,0.1,0.1,50,50,50,2.5,3.5,3,NA,NA,NA,NA,NA,NA
1623,GROUND WATER QUALITY OF CHATTISSGARH,AT BILASPUR REGION,Chhattisgarh,28,30,29,NA,NA,NA,7.7,8.4,8.1,1872,2215,2044,0.1,0.1,0.1,50,50,50,2.1,3,2.55,NA,NA,NA,NA,NA,NA
1616,GROUND WATER QUALITY OF Madhya Pradesh,OPEN WELL/TUBE WELL INDUSTRIAL AREA- GOVINDPURA- BHOPAL,Madhya Pradesh,28,28,28,NA,NA,NA,7.5,7.5,7.5,450,450,450,2.1,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16
1617,GROUND WATER QUALITY OF Madhya Pradesh,OPEN WELL/TUBE WELL INDL AREAMANDIDEEP- RAISEN,Madhya Pradesh,27,27,27,NA,NA,NA,7.2,7.2,7.2,380,380,380,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17
1618,GROUND WATER QUALITY OF Madhya Pradesh,GW SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR- M.P,Madhya Pradesh,18,18,18,NA,NA,NA,6.9,7.4,7.2,620,1310,965,2.2,2.2,2.2,0.3,1.4,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
